"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3667650";"";"None";"429.51";"0";"4.61";"BDBM155029";"CCN(CC)S(=O)(=O)c1ccc(-c2c(C)c(CC(=O)O)cc3ccc(F)cc23)cc1";"IC50";"'='";"1.8";"nM";"8.74";"";"297332";"UO_0000065";"20.36";"0.40";"4.13";"11.71";"0";"CHEMBL3706252";"Fluorometric Imaging Plate Reader (FLIPR) Assay: Cell Culture Conditions: CHO-K1 cells previously transfected with G-alpha 16 were subsequently transfected with the human CRTH2 receptor and the neomycin resistance gene. Following selection in 800 ug/mL G418 (geneticin), individual clones were assayed for their receptor expression based on staining with an anti human CRTH2 IgG, followed by assaying for their response to 13,14-dihydro-15-keto Prostaglandin D2 (DK-PDG2) (ligand) in the Ca2+ Flux assay. Positive clones were then cloned by limiting dilution cloning. The transfected cells were cultured in Ham's F-12 medium supplemented with 10% fetal bovine serum, 2 mM glutamine, 100 U/mL penicillin/100 ug/mL streptomycin, 200 ug/mL hygromycin B, and 800 ug/mL G418 (geneticin). Cells were harvested with trypsin-EDTA (trypsin-ethylenediaminetetraacetic acid) and counted using ViaCount reagent (from Guava Technologies, Inc. which contains two DNA-binding dyes.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638761";"37";"BindingDB Patent Bioactivity Data";"";"2015";"CHEMBL3307512";"";"";"";"1.8"
"CHEMBL1917584";"";"None";"406.89";"0";"3.70";"19k";"CCCS(=O)(=O)c1ccc(C)c(C#Cc2cc(Cl)ccc2OCC(=O)O)c1";"IC50";"'='";"81.0";"nM";"7.09";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1920645";"Antagonist activity at CRTH2 in human blood cells assessed as inhibition of PGD2-induced eosinophil cell shape change after 10 mins by flow cytometry";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1914440";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";"";"81.0"
"CHEMBL1917603";"";"None";"421.90";"0";"3.20";"20h";"Cc1ccc(S(=O)(=O)NC(C)C)cc1C#Cc1cc(Cl)ccc1OCC(=O)O";"IC50";"'='";"250.0";"nM";"6.60";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1920645";"Antagonist activity at CRTH2 in human blood cells assessed as inhibition of PGD2-induced eosinophil cell shape change after 10 mins by flow cytometry";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1914440";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";"";"250.0"
"CHEMBL1917810";"";"None";"474.56";"0";"4.82";"6, AM432";"CCN(Cc1cc(-c2ccc(OC)cn2)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)C1CC1";"IC50";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1920645";"Antagonist activity at CRTH2 in human blood cells assessed as inhibition of PGD2-induced eosinophil cell shape change after 10 mins by flow cytometry";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1914440";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";"";"";"3.0"
"CHEMBL1917584";"";"None";"406.89";"0";"3.70";"19k";"CCCS(=O)(=O)c1ccc(C)c(C#Cc2cc(Cl)ccc2OCC(=O)O)c1";"IC50";"'='";"7.0";"nM";"8.15";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1920641";"Antagonist activity human CRTH2 expressed in chinese hamster CHO cells assessed as inhibition of PGD2-induced [35S]GTPgamma binding by liquid scintillation counting";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1914440";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";"";"7.0"
"CHEMBL557662";"";"None";"399.43";"0";"2.48";"Example 127";"CCOc1cc(S(=O)(=O)n2c(C)c(CC(=O)O)c3cccnc32)ccc1C#N";"IC50";"'='";"31.0";"nM";"7.51";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL3881173";"Antagonist activity against human CRTh2 expressed in CHO-K1 cells assessed as inhibition of PGD2-mediated attenuation of forskolin-induced cAMP accumulation incubated for 60 mins by scintillation counting method";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3880424";"38";"SureChEMBL Patent Bioactivity Data";"";"2010";"CHEMBL3307512";"";"";"";"0.031"
"CHEMBL3944866";"";"None";"413.46";"0";"2.87";"Example 130";"CCCOc1cc(S(=O)(=O)n2c(C)c(CC(=O)O)c3cccnc32)ccc1C#N";"IC50";"'='";"60.0";"nM";"7.22";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3881173";"Antagonist activity against human CRTh2 expressed in CHO-K1 cells assessed as inhibition of PGD2-mediated attenuation of forskolin-induced cAMP accumulation incubated for 60 mins by scintillation counting method";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3880424";"38";"SureChEMBL Patent Bioactivity Data";"";"2010";"CHEMBL3307512";"";"";"";"0.06"
"CHEMBL2442750";"QAV680";"2.0";"358.42";"0";"2.42";"18";"Cc1c(CC(=O)O)c2cccnc2n1Cc1ccc(S(C)(=O)=O)cc1";"IC50";"'='";"31.0";"nM";"7.51";"";"";"UO_0000065";"20.95";"0.41";"5.09";"8.41";"0";"CHEMBL2447530";"Antagonist activity at CRTh2 receptor in human whole blood assessed as inhibition of DK-PGD2-induced eosinophil shape change after 5 mins by flow cytometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2440029";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"None";"";"";"";"0.031"
"CHEMBL2442750";"QAV680";"2.0";"358.42";"0";"2.42";"18";"Cc1c(CC(=O)O)c2cccnc2n1Cc1ccc(S(C)(=O)=O)cc1";"IC50";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"23.78";"0.47";"6.10";"9.55";"0";"CHEMBL2444553";"Antagonist activity at CRTh2 receptor in human isolated eosinophil assessed as inhibition of delta12-PGJ2-induced shape change after 5 mins by flow cytometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2440029";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"None";"";"";"";"0.003"
"CHEMBL2442750";"QAV680";"2.0";"358.42";"0";"2.42";"18";"Cc1c(CC(=O)O)c2cccnc2n1Cc1ccc(S(C)(=O)=O)cc1";"IC50";"'='";"4.0";"nM";"8.40";"";"";"UO_0000065";"23.43";"0.46";"5.98";"9.41";"0";"CHEMBL2444555";"Antagonist activity at CRTh2 receptor in human isolated eosinophil assessed as inhibition of 11-Dehydro-TXB2-induced shape change after 5 mins by flow cytometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2440029";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"None";"";"";"";"0.004"
"CHEMBL3236944";"";"None";"372.42";"0";"3.91";"33";"Cc1c(-c2ccc(=O)n(Cc3ccccc3)c2)c2ccccc2n1CC(=O)O";"IC50";"'='";"42.0";"nM";"7.38";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3242797";"Antagonist activity at human recombinant CRTh2 expressed in CHO-K1 cells by cAMP TR FRET assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3232705";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307512";"";"";"";"42.0"
