SMILES,Name
Clc1ccccc1CN1CCc2sccc2C1,Ticlopidine
O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,Trospium
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,Adapalene
COc1ccc(OC)c(C(O)CNC(=O)CN)c1,Midodrine
COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,Pantoprazole
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,Torasemide
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,Citalopram
CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,Eletriptan
C/N=C(\NC)NCc1ccccc1,Bethanidine
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,Moxifloxacin
CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,Oxyphenonium
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,Nelfinavir
CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,Isoetharine
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,Glimepiride
C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,Diflorasone
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,Indinavir
NC(N)=NCC1COC2(CCCCC2)O1,Guanadrel
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,Lovastatin
CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,Cefotiam
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,Temazepam
Nc1ccc(C(=O)O)c(O)c1,Aminosalicylic acid
CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1CNCCO1,Reboxetine
Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,Milrinone
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,Butabarbital
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,Nevirapine
Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,Oxiconazole
C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,Alclometasone
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,Butalbital
