ID,SMILES,IC50(nM)
BDBM189195,CC(C)CCOC(=O)N1CCc2ncsc2C1c1cc(Cl)ccc1OCC(=O)O,0.4
BDBM173245,CC(C)CN(c1nc2cc(F)ccc2o1)C1CCc2c(CC(=O)O)c3ccc(Cl)cc3n2C1,2.0
BDBM189226,CC(C)COC(=O)N1CCc2ncsc2C1c1cc(Cl)ccc1OCC(=O)O,17.8
BDBM205729,CC(C)COc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,1.28
BDBM173243,CC(C)N(c1nc2cc(F)ccc2o1)C1CCc2c(CC(=O)O)c3ccc(Cl)cc3n2C1,3.0
BDBM120033,CC(C)N(c1ncc(Cl)cn1)C1CCc2c(c3cc(F)ccc3n2CC(=O)O)C1,809.0
BDBM205885,CC(C)Oc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC(C)(C)c1ccccc1)CC2,4.2
BDBM205877,CC(C)Oc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC(C)c1ccccn1)CC2,3.7
BDBM205884,CC(C)Oc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC1CCOc3ccccc31)CC2,1.2
BDBM205887,CC(C)Oc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)C[C@@H](C)c1ccccc1)CC2,2.1
BDBM205886,CC(C)Oc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)C[C@H](C)c1ccccc1)CC2,10.3
BDBM205748,CC(C)Oc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,2.3
BDBM205888,CC(C)Oc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)[C@@H]1C[C@H]1c1ccccc1)CC2,1.6
BDBM205962,CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(C#N)c2c1CN(C(=O)OCc1ccccc1)CC2,1.4
BDBM205822,CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC(C)(C)c1ccccc1)CC2,5.9
BDBM205824,CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC(C)c1ccccn1)CC2,1.6
BDBM205821,CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1CCOc3ccccc31)CC2,5.0
BDBM205827,CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1COCc3ccccc31)CC2,0.8
BDBM205829,CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1COc3ccccc31)CC2,1.2
BDBM205828,CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1OCCc3ccccc31)CC2,1.9
BDBM205823,CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)C[C@@H](C)c1ccccc1)CC2,2.5
BDBM205553,CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,4.72
BDBM205558,CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)[C@@H]1C[C@H]1c1ccccc1)CC2,12.9
BDBM205694,CC(C)Oc1ccc(OCC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,7.94
BDBM205692,CC(C)Oc1ccc(OCC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)[C@@H]1C[C@H]1c1ccccc1)CC2,1.38
BDBM111613,CC(C)Oc1ccc(S(=O)(=O)N2CCC(n3cc(C(=O)O)c4ccc(Cl)cc43)C2)cc1,7.0
BDBM111611,CC(C)Oc1ccc(S(=O)(=O)N2CCC(n3cc(CC(=O)O)c4ccc(Cl)cc43)C2)cc1,1.2
BDBM111612,CC(C)Oc1ccc(S(=O)(=O)N2CCC(n3cc(CC(=O)O)c4ccc(F)cc43)C2)cc1,2.9
BDBM111607,CC(C)Oc1ccc(S(=O)(=O)N2CCC(n3cc(CC(=O)O)c4ccc(F)cc43)CC2)cc1,1.3
BDBM111608,CC(C)Oc1ccc(S(=O)(=O)N2CCC(n3cc(CC(=O)O)c4ccccc43)C2)cc1,3.8
BDBM111610,CC(C)Oc1ccc(S(=O)(=O)N2CCC(n3cc(OC=O)c4ccccc43)CC2)cc1,1.6
BDBM111609,CC(C)Oc1ccc(S(=O)(=O)N2CCC(n3nc(CC(=O)O)c4cc(Cl)ccc43)C2)cc1,3.0
BDBM50356680,CC(C)S(=O)(=O)c1ccc(Cl)c(C#Cc2cc(Cl)ccc2OCC(=O)O)c1,67.0
BDBM50356678,CC(C)S(=O)(=O)c1ccc(F)c(C#Cc2cc(Cl)ccc2OCC(=O)O)c1,91.0
BDBM205747,CC(C)c1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,19.4
BDBM50309424,CC(C)c1ccc(Nc2nc(-c3ccc(Cl)cc3)c(CC(=O)O)s2)cc1,8600.0
BDBM50356667,CC(C)c1ccc(S(C)(=O)=O)cc1C#Cc1cc(Cl)ccc1OCC(=O)O,360.0
BDBM50435000,CC(C)c1ccc2c(c1)c1c(n2CC(=O)O)CCN(C(=O)c2ccccc2)C1,42.0
BDBM189141,CC(C)c1nc2c(s1)C(c1cc(Cl)ccc1OCC(=O)O)N(C(=O)OCc1ccccc1)CC2,64.8
BDBM205833,CC(CC(=O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OCC(F)(F)F)c2C1)c1ccccn1,8.1
BDBM205819,CC(CC(=O)N1CCc2c(F)ccc(-c3ccc(CC(=O)O)cc3OCC(F)(F)F)c2C1)c1ccccn1,10.0
BDBM189163|BDBM189166,CC(CC(=O)N1CCc2ncsc2C1c1cc(Cl)ccc1OCC(=O)O)c1ccccc1,183.6
