ID,pIC50,SMILES,IC50(nM)
BDBM205865|CHEMBL3970837,7.991399828238082,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1(C)CCCc3ccccc31)CC2,10.2
BDBM205808|CHEMBL3950297,8.721246399047171,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1(c3ccc(F)cc3)CC1)CC2,1.9
BDBM205806|CHEMBL3959001,8.167491087293763,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1(c3cccc(F)c3)CC1)CC2,6.8
BDBM205753|CHEMBL3974113,7.578396073130169,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1(c3ccccc3)CC1)CC2,26.4
BDBM205807|CHEMBL3889962,7.444905551421681,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1(c3ccccc3F)CC1)CC2,35.9
BDBM205862|CHEMBL3898724,8.017728766960431,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1CC(C)(C)Oc3ccccc31)CC2,9.6
BDBM205815|CHEMBL3944545,8.619788758288394,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1CC(C)(C)Oc3ncccc31)CC2,2.4
BDBM205881|CHEMBL3898552,8.086186147616283,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1CCCc3cccnc31)CC2,8.2
BDBM205866|CHEMBL3946613,9.045757490560675,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1CCOc3cc(F)ccc31)CC2,0.9
BDBM205757|CHEMBL3957800,7.889410289700751,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1CCOc3ccccc31)CC2,12.9
BDBM205750|CHEMBL3985541,8.040958607678906,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1CCc3ccccc31)CC2,9.1
BDBM205740|CHEMBL3906820,8.259637310505756,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1COCc3ccccc31)CC2,5.5
BDBM205738|CHEMBL3982320,8.853871964321762,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1COc3ccccc31)CC2,1.4
BDBM205863|CHEMBL3923248,7.928117992693874,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1COc3ccccc3C1)CC2,11.8
BDBM205755|CHEMBL3968838,8.086186147616283,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1OCCc3ccccc31)CC2,8.2
BDBM205841|CHEMBL3927763,8.769551078621726,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CCc1ccc(F)cc1)CC2,1.7
BDBM205860|CHEMBL3955318,8.3767507096021,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CCc1cccc(C)n1)CC2,4.2
BDBM205842|CHEMBL3890646,8.4089353929735,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CCc1cccc(F)c1)CC2,3.9
BDBM205843|CHEMBL3898773,8.318758762624412,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CCc1ccccc1F)CC2,4.8
BDBM205879|CHEMBL3948204,8.568636235841012,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CCc1ccccn1)CC2,2.7
BDBM205840|CHEMBL3975121,7.490797477668897,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CCc1ncccc1OC)CC2,32.3
BDBM205752|CHEMBL3944664,8.920818753952375,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)C[C@@H](C)c1ccccc1)CC2,1.2
BDBM205871|CHEMBL3898221,6.047207556955907,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)Cc1ccccn1)CC2,897.0
CHEMBL3957763,8.585026652029182,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)NCCc1ccccc1)CC2,2.6
CHEMBL3893171,9.154901959985743,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)NCc1ccc(F)cc1)CC2,0.7
CHEMBL3921177,7.226945306635738,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)NCc1cccc(F)c1)CC2,59.3
CHEMBL3942713,8.431798275933005,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)NCc1ccccc1)CC2,3.7
CHEMBL3933750,8.267606240177031,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)NCc1ccccc1Cl)CC2,5.4
CHEMBL3982163,8.275724130399212,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)NCc1ccccc1F)CC2,5.3
CHEMBL3972332,7.962573502059376,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)NCc1ccccc1OC)CC2,10.9
CHEMBL3946764,7.847711655616943,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)NCc1ccccn1)CC2,14.2
BDBM205908|CHEMBL3975907,8.468521082957745,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCC(C)C)CC2,3.4
BDBM205911|CHEMBL3946538,8.3767507096021,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCC(C)CC)CC2,4.2
BDBM205903|CHEMBL3972806,8.259637310505756,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCC1CC1)CC2,5.5
BDBM205900|CHEMBL3910750,8.060480747381382,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCC1CCCC1)CC2,8.7
BDBM205927|CHEMBL3946488,8.585026652029182,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCC1CCCCC1)CC2,2.6
BDBM205915|CHEMBL3969773,7.8297382846050425,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCC1CCCO1)CC2,14.8
BDBM205906|CHEMBL3975242,8.060480747381382,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCC=C(C)C)CC2,8.7
BDBM205913|CHEMBL3935409,7.853871964321762,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCCC(C)(C)O)CC2,14.0
BDBM205914|CHEMBL3939663,7.721246399047171,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCCC(C)(C)OC)CC2,19.0
BDBM205901|CHEMBL3984022,8.154901959985743,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCCC(C)C)CC2,7.0
BDBM205909|CHEMBL3950007,8.229147988357855,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCCOC)CC2,5.9
BDBM205904|CHEMBL3896240,8.769551078621726,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCCc1ccccc1)CC2,1.7
BDBM205905|CHEMBL3961770,8.3767507096021,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OC[C@H](C)c1ccccc1)CC2,4.2
BDBM205933|CHEMBL3987165,8.366531544420413,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1cc(Cl)ccc1F)CC2,4.3
BDBM205932|CHEMBL3958478,8.346787486224656,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1cc(F)ccc1F)CC2,4.5
BDBM205929|CHEMBL3891507,8.468521082957745,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1ccc(F)cc1)CC2,3.4
BDBM205934|CHEMBL3949802,8.769551078621726,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1ccc(F)cc1F)CC2,1.7
BDBM205902|CHEMBL3962450,9.221848749616356,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1cccc(C)n1)CC2,0.6
BDBM205930|CHEMBL3972966,8.327902142064282,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1cccc(F)c1)CC2,4.7
BDBM205726|CHEMBL3890081,8.97469413473523,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,1.06
BDBM205931|CHEMBL3898343,7.892790030352131,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1F)CC2,12.8
BDBM205925|CHEMBL3941153,8.920818753952375,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccn1)CC2,1.2
BDBM205896|CHEMBL3897333,8.4089353929735,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1cnccn1)CC2,3.9
BDBM205897|CHEMBL3962829,8.3767507096021,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1ncc(C)cc1F)CC2,4.2
BDBM205899|CHEMBL3980719,8.259637310505756,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)O[C@@H](C)c1ccccc1)CC2,5.5
BDBM205895|CHEMBL3957462,8.221848749616356,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)O[C@H](C)c1ccccc1)CC2,6.0
BDBM205751|CHEMBL3912309,7.8696662315049934,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)[C@@H]1C[C@H]1c1ccccc1)CC2,13.5
BDBM205966,8.585026652029182,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(O)=NCCc1ccccc1)CC2,2.6
BDBM205965,9.154901959985743,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(O)=NCc1ccc(F)cc1)CC2,0.7
BDBM205964,7.226945306635738,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(O)=NCc1cccc(F)c1)CC2,59.3
BDBM205969,8.431798275933005,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(O)=NCc1ccccc1)CC2,3.7
BDBM205967,8.267606240177031,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(O)=NCc1ccccc1Cl)CC2,5.4
BDBM205963,8.275724130399212,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(O)=NCc1ccccc1F)CC2,5.3
BDBM205968,7.962573502059376,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(O)=NCc1ccccc1OC)CC2,10.9
BDBM205980,7.847711655616943,CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(O)=NCc1ccccn1)CC2,14.2
BDBM111601|CHEMBL3693860,8.309803919971486,CCOc1ccc(S(=O)(=O)N2CCC(n3cc(C)c4cc(Cl)ccc43)C2)cc1,4.9
BDBM111599|CHEMBL3693858,8.318758762624412,CCOc1ccc(S(=O)(=O)N2CCC(n3cc(C)c4cc(Cl)ccc43)CC2)cc1,4.8
BDBM111605|CHEMBL3693863,8.161150909262744,CCOc1ccc(S(=O)(=O)N2CCC(n3cc(C)c4ccc(Cl)cc43)C2)cc1,6.9
BDBM111603|CHEMBL3693862,8.161150909262744,CCOc1ccc(S(=O)(=O)N2CCC(n3cc(C)c4ccc(Cl)cc43)CC2)cc1,6.9
11495505|BDBM50357145|CHEMBL1917459,7.443697499232712,CCS(=O)(=O)Nc1cccc2c1c(Oc1ccc(Cl)cc1)c(C)n2CC(=O)O,36.0
11574877|BDBM50344978|CHEMBL1778652,8.602059991327963,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2CCC(=O)O)c(C)c1,2.5
54584709|BDBM50344979|CHEMBL1778651,5.400007822415902,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OC(C)(C)C(=O)O)c(C)c1,3981.0
54584707|54585643,6.748848656824645,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OC(C)C(=O)O)c(C)c1,178.3
54586638,9.221848749616356,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OC(C)C(=O)O)c(Cl)c1,0.6
BDBM50344977,5.247951552180561,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=N)O)c(C)c1,5650.0
53359023|BDBM50344991|CHEMBL1778639,7.825358807339551,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c(C)c1,14.95
54583733|BDBM50344992|CHEMBL1778638,9.522878745280337,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c(Cl)c1,0.3
54581777|CHEMBL1778653,5.247951552180561,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(N)=O)c(C)c1,5650.0
54585644|BDBM50344976,6.050122295963125,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCc2nn[nH]n2)c(C)c1,891.0
CHEMBL1778654,6.050122295963125,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCc2nnn[nH]2)c(C)c1,891.0
BDBM50344981|CHEMBL1778649,6.449771646944906,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2O[C@@H](C)C(=O)O)c(C)c1,355.0
BDBM50344982|CHEMBL1778648,8.795880017344075,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2O[C@H](C)C(=O)O)c(C)c1,1.6
BDBM50344975|CHEMBL1778655,9.221848749616356,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2O[C@H](C)C(=O)O)c(Cl)c1,0.6
11189402|BDBM50344983|CHEMBL1778647,6.53313237964589,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(C(F)(F)F)c1,293.0
11326126|BDBM50344985|CHEMBL1778645,8.387216143280265,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(C)c1,4.1
54587659|BDBM50344984|CHEMBL1778646,8.823908740944319,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(Cl)c1,1.5
54585642|BDBM50344986|CHEMBL1778644,8.102372908709558,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(F)c1,7.9
11325699|BDBM50344989|CHEMBL1778641,7.721246399047171,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)cc1,19.0
